number,value,params_batch_size,params_gamma,params_lambda_sparse,params_lr,params_mask_type,params_n_a,params_n_d,params_n_steps,params_virtual_batch_size,state
0,0.613251155624037,1024,1.3429979017016884,0.003182144273075528,0.003975430742925044,sparsemax,16,16,9,128,COMPLETE
1,0.6055469953775039,1024,1.568276734932656,7.59318141904412e-05,0.00927748477385235,entmax,16,32,7,256,COMPLETE
2,0.6040061633281972,512,1.8607772487290903,0.0025792299828894206,0.002192154705788445,sparsemax,32,8,7,128,COMPLETE
3,0.3913713405238829,1024,1.8069531470309854,0.004415262522089323,0.00020682207554267921,sparsemax,8,16,7,128,COMPLETE
4,0.46687211093990755,1024,1.273613665191232,0.00409002309699419,0.00012516748074582954,sparsemax,32,8,8,256,COMPLETE
5,0.5649717514124294,512,1.2133520798758486,2.0679273420140793e-05,0.0001317624758562132,sparsemax,16,16,5,256,COMPLETE
6,0.5747303543913713,512,1.7568183759651528,0.0005392504161373644,0.00013673312566455287,entmax,16,16,5,128,COMPLETE
7,0.5731895223420647,512,1.338123644944191,0.00019212196783902348,0.00015059393115342775,entmax,16,16,8,256,COMPLETE
8,0.28043143297380585,1024,1.4920105863122788,8.003364736320007e-05,0.00011568093402633078,entmax,8,8,8,256,COMPLETE
9,0.6512583461736005,1024,1.873162299500314,9.510616385030972e-05,0.005649894944444701,sparsemax,32,16,3,128,COMPLETE
10,0.6450950179763739,1024,1.9733550992290787,1.9233279923981242e-05,0.0008033338441937909,sparsemax,32,32,3,128,COMPLETE
11,0.6065742167437083,1024,1.9620741072597794,1.928696847758741e-05,0.0005992572053811721,sparsemax,32,32,3,128,COMPLETE
12,0.6358500256805342,1024,1.6356916703878845,1.008047396335102e-05,0.0007471987136054405,sparsemax,32,32,3,128,COMPLETE
13,0.6666666666666666,1024,1.000577900836613,5.5022590042154394e-05,0.0017850922152588724,sparsemax,32,32,4,128,COMPLETE
14,0.6522855675398048,1024,1.0133346559903844,0.0006121875163466326,0.002422868968579807,sparsemax,32,32,5,128,COMPLETE
15,0.6266050333846944,1024,1.0196968050631112,0.0007641098708318258,0.001545626465748313,sparsemax,32,32,5,128,COMPLETE
16,0.6481766820749871,1024,1.000425057304706,0.0009195328261470907,0.0019168013635256715,sparsemax,32,32,4,128,COMPLETE
17,0.5747303543913713,1024,1.1089359807078438,0.00026575048016036013,0.00037815477654966253,sparsemax,8,32,6,128,COMPLETE
18,0.6866974833076528,512,1.1501946000609145,0.0015522355263382782,0.0034457975361170466,entmax,32,32,4,128,COMPLETE
19,0.7385721623009759,512,1.213287225900646,0.008788520337902688,0.0036503942104555327,entmax,32,32,4,128,COMPLETE
20,0.6219825372367745,512,1.1759795168918716,0.008211563454521783,0.004158177136688408,entmax,8,32,10,128,COMPLETE
21,0.6825885978428351,512,1.128727156894212,0.00956110524986577,0.0034408457733325418,entmax,32,32,4,128,COMPLETE
22,0.6933744221879815,512,1.4146967797657481,0.0018709337704911843,0.008596852682094574,entmax,32,32,4,128,COMPLETE
23,0.7539804827940421,512,1.3542801903123354,0.0015067427179960662,0.007483834315662805,entmax,32,32,4,128,COMPLETE
24,0.6332819722650231,512,1.4296106389025924,0.0016747163891916487,0.009366163726644774,entmax,32,32,6,128,COMPLETE
25,0.6702619414483821,512,1.3235725133874385,0.005514046454134327,0.006192025877081822,entmax,32,8,4,128,COMPLETE
26,0.6384180790960452,512,1.433668941082768,0.0017336709735101385,0.006960045372167099,entmax,32,32,6,256,COMPLETE
27,0.6363636363636364,512,1.2579436289088035,0.0012229821919809833,0.005258165066571801,entmax,32,32,5,128,COMPLETE
28,0.6733436055469953,512,1.4286732245726588,0.00036912680625090415,0.008029856906237332,entmax,8,32,4,128,COMPLETE
29,0.6235233692860811,512,1.6071829909582283,0.0027253411149805147,0.0012095818772022032,entmax,32,8,3,128,COMPLETE
